Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/5870-Sunset-Ln-Indianapolis-IN-46228/1273100_zpid/,,Single Family,4000000,11/27/24,9782,sqft,408.91,2.25,acres,4,8,5870 Sunset Ln,Indianapolis,46228,IN,USA
https://www.zillow.com/homedetails/5273-N-Illinois-St-Indianapolis-IN-46208/1250230_zpid/,,Single Family,2400000,10/04/24,5884,sqft,407.89,0.68,acres,4,5,5273 N Illinois St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/8334-Eagle-Crest-Ln-Indianapolis-IN-46234/102982270_zpid/,,Single Family,2187625,11/19/24,6298,sqft,347.35,2.13,acres,5,6,8334 Eagle Crest Ln,Indianapolis,46234,IN,USA
https://www.zillow.com/homedetails/9407-Promontory-Cir-Indianapolis-IN-46236/1158528_zpid/,,Single Family,2150000,09/10/24,6414,sqft,335.2,0.5,acres,6,6,9407 Promontory Cir,Indianapolis,46236,IN,USA
https://www.zillow.com/homedetails/9291-Promontory-Cir-Indianapolis-IN-46236/1158521_zpid/,,Single Family,1780000,09/06/24,7740,sqft,229.97,0.5,acres,4,5,9291 Promontory Cir,Indianapolis,46236,IN,USA
https://www.zillow.com/homedetails/229-Forest-Blvd-Indianapolis-IN-46240/1256531_zpid/,,Single Family,1750000,11/27/24,4431,sqft,394.94,0.75,acres,4,5,229 Forest Blvd,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/5725-Brookwood-Rd-Indianapolis-IN-46226/1137954_zpid/,,Single Family,1735000,09/27/24,7268,sqft,238.72,3.38,acres,5,7,5725 Brookwood Rd,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/4456-N-Park-Ave-Indianapolis-IN-46205/1247082_zpid/,,Single Family,1679000,10/25/24,5248,sqft,319.93,0.41,acres,5,4,4456 N Park Ave,Indianapolis,46205,IN,USA
https://www.zillow.com/homedetails/8215-Central-Ave-Indianapolis-IN-46240/1244092_zpid/,,Single Family,1675000,10/10/24,6039,sqft,277.36,0.49,acres,7,6,8215 Central Ave,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/8972-Mud-Creek-Rd-Indianapolis-IN-46256/1153635_zpid/,,Single Family,1650000,11/15/24,6559,sqft,251.56,8.06,acres,6,8,8972 Mud Creek Rd,Indianapolis,46256,IN,USA
https://www.zillow.com/homedetails/604-E-North-St-Indianapolis-IN-46204/124443283_zpid/,,Single Family,1540000,09/12/24,5584,sqft,275.79,3049.2,sqft,4,6,604 E North St,Indianapolis,46204,IN,USA
https://www.zillow.com/homedetails/5001-Buttonwood-Cres-Indianapolis-IN-46228/1269358_zpid/,,Single Family,1500000,12/02/24,14738,sqft,101.78,1.19,acres,7,9,5001 Buttonwood Cres,Indianapolis,46228,IN,USA
https://www.zillow.com/homedetails/1514-N-Park-Ave-Indianapolis-IN-46202/1115666_zpid/,,Single Family,1440000,11/01/24,6357,sqft,226.52,0.26,acres,4,6,1514 N Park Ave,Indianapolis,46202,IN,USA
https://www.zillow.com/homedetails/450-E-Vermont-St-Indianapolis-IN-46202/1121221_zpid/,,Single Family,1435947,11/22/24,7601,sqft,188.92,8712,sqft,4,5,450 E Vermont St,Indianapolis,46202,IN,USA
https://www.zillow.com/homedetails/8074-Dean-Rd-Indianapolis-IN-46240/1277586_zpid/,,Single Family,1410000,09/30/24,4290,sqft,328.67,8712,sqft,3,3,8074 Dean Rd,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/8135-Sycamore-Rd-Indianapolis-IN-46240/1256521_zpid/,,Single Family,1375000,10/25/24,3906,sqft,352.02,0.81,acres,4,4,8135 Sycamore Rd,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/1557-N-Park-Ave-Indianapolis-IN-46202/339898687_zpid/,,Single Family,1370000,11/15/24,4957,sqft,276.38,6098.4,sqft,5,7,1557 N Park Ave,Indianapolis,46202,IN,USA
https://www.zillow.com/homedetails/111-E-75th-St-Indianapolis-IN-46240/1261395_zpid/,,Single Family,1325000,09/19/24,5189,sqft,255.35,0.55,acres,5,5,111 E 75th St,Indianapolis,46240,IN,USA
https://www.zillow.com/homedetails/5750-Stonechat-Ln-Indianapolis-IN-46237/62836187_zpid/,,Single Family,1320750,10/04/24,5994,sqft,220.35,1.47,acres,5,5,5750 Stonechat Ln,Indianapolis,46237,IN,USA
