Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/6235-Bluff-Rd-Indianapolis-IN-46217/1183174_zpid/,,Single Family,700,10/02/24,1884,sqft,0.37,3.13,acres,2,,6235 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/216-Haugh-St-Indianapolis-IN-46222/308924690_zpid/,,Single Family,2000,11/07/24,1804,sqft,1.11,3484.8,sqft,3,3,216 Haugh St,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/6024-E-Washington-St-Indianapolis-IN-46219/1215968_zpid/,,Single Family,5000,09/20/24,2087,sqft,2.4,6316,sqft,4,1,6024 E Washington St,Indianapolis,46219,IN,USA
https://www.zillow.com/homedetails/5560-Bluff-Rd-Indianapolis-IN-46217/1167686_zpid/,,Single Family,5800,10/01/24,1236,sqft,4.69,0.92,acres,3,2,5560 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/3585-N-Riley-Ave-Indianapolis-IN-46218/112838755_zpid/,,Single Family,9500,09/18/24,,,,7971,sqft,,,3585 N Riley Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/6420-S-Meridian-St-Indianapolis-IN-46217/1172909_zpid/,,Single Family,9580,09/20/24,3586,sqft,2.67,1,acres,3,3,6420 S Meridian St,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/24-N-Randolph-St-Indianapolis-IN-46201/1102145_zpid/,,Single Family,11500,09/17/24,2031,sqft,5.66,10800,sqft,5,2,24 N Randolph St,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/5960-Bluff-Rd-Indianapolis-IN-46217/1183047_zpid/,,Single Family,12255,10/25/24,1116,sqft,10.98,1.24,acres,2,,5960 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/789-W-25th-St-Indianapolis-IN-46208/1076365_zpid/,,Single Family,12500,09/18/24,1590,sqft,7.86,3920,sqft,3,1,789 W 25th St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/3824-N-Richardt-Ave-Indianapolis-IN-46226/112837473_zpid/,,Single Family,14000,09/18/24,,,,8624,sqft,,,3824 N Richardt Ave,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/733-N-Linwood-Ave-Indianapolis-IN-46201/1109917_zpid/,,Single Family,18500,10/18/24,1664,sqft,11.12,4356,sqft,4,,733 N Linwood Ave,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/8130-Bluff-Rd-Indianapolis-IN-46217/1170235_zpid/,,Single Family,24430,09/19/24,,,,0.25,acres,,,8130 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/2606-N-Butler-Ave-Indianapolis-IN-46218/1214424_zpid/,,Single Family,24900,10/18/24,928,sqft,26.83,9496,sqft,3,,2606 N Butler Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/536-N-Gray-St-Indianapolis-IN-46201/1096539_zpid/,,Single Family,25000,09/05/24,1602,sqft,15.61,5445,sqft,3,1,536 N Gray St,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/2601-N-Butler-Ave-Indianapolis-IN-46218/1213742_zpid/,,Single Family,25000,09/13/24,916,sqft,27.29,6969.6,sqft,1,1,2601 N Butler Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3610-E-28th-St-Indianapolis-IN-46218/1115359_zpid/,,Single Family,25500,10/31/24,1031,sqft,24.73,5227.2,sqft,1,1,3610 E 28th St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/8305-Bluff-Rd-Indianapolis-IN-46217/1173565_zpid/,,Single Family,25900,09/27/24,738,sqft,35.09,10367,sqft,2,,8305 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/5505-Bluff-Rd-Indianapolis-IN-46217/1180833_zpid/,,Single Family,27000,10/21/24,1464,sqft,18.44,0.84,acres,3,,5505 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/8301-Bluff-Rd-Indianapolis-IN-46217/1186282_zpid/,,Single Family,27000,09/27/24,1800,sqft,15,0.26,acres,3,1,8301 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/955-N-Belleview-Pl-Indianapolis-IN-46222/1292488_zpid/,,Single Family,29288,10/07/24,816,sqft,35.89,5662,sqft,3,,955 N Belleview Pl,Indianapolis,46222,IN,USA
