Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/1320-N-Beckley-Station-Rd-Louisville-KY-40245/114061225_zpid/,,Single Family,2850000,10/25/24,12757,sqft,223.41,3.76,acres,5,8,1320 N Beckley Station Rd,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/12000-Taylorsville-Rd-Louisville-KY-40299/114103298_zpid/,,Single Family,2650000,11/01/24,7082,sqft,374.19,6.54,acres,5,6,12000 Taylorsville Rd,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/1-E-Mill-Pl-Louisville-KY-40222/73469701_zpid/,,Single Family,2450000,11/15/24,12423,sqft,197.21,5.1,acres,6,8,1 E Mill Pl,Louisville,40222,KY,USA
https://www.zillow.com/homedetails/1116-Bellewood-Rd-Anchorage-KY-40223/73471409_zpid/,,Single Family,2395000,11/18/24,7303,sqft,327.95,9.31,acres,8,5,1116 Bellewood Rd,Anchorage,40223,KY,USA
https://www.zillow.com/homedetails/3551-Ruckriegel-Pkwy-Jeffersontown-KY-40299/73533003_zpid/,,Single Family,2300000,11/15/24,2086,sqft,1102.59,0.35,acres,3,2,3551 Ruckriegel Pkwy,Jeffersontown,40299,KY,USA
https://www.zillow.com/homedetails/2420-Crittenden-Dr-Louisville-KY-40217/73611488_zpid/,,Single Family,2300000,10/11/24,,,,3250,sqft,,,2420 Crittenden Dr,Louisville,40217,KY,USA
https://www.zillow.com/homedetails/15300-Beckley-Crossing-Dr-Louisville-KY-40245/114078940_zpid/,,Single Family,2100000,10/08/24,4016,sqft,522.91,5.49,acres,3,5.5,15300 Beckley Crossing Dr,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/5309-Glencrest-Dr-Glenview-KY-40025/73482261_zpid/,,Single Family,2050000,09/20/24,4891,sqft,419.14,1.96,acres,,4,5309 Glencrest Dr,Glenview,40025,KY,USA
https://www.zillow.com/homedetails/9-River-Hill-Rd-Indian-Hills-KY-40207/73475284_zpid/,,Single Family,1985000,10/15/24,6427,sqft,308.85,5.6,acres,7,7,9 River Hill Rd,Indian Hills,40207,KY,USA
https://www.zillow.com/homedetails/15410-Beckley-Crossing-Dr-Louisville-KY-40245/114078938_zpid/,,Single Family,1950000,11/22/24,8752,sqft,222.81,3.72,acres,5,6,15410 Beckley Crossing Dr,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/1432-Cherokee-Rd-Louisville-KY-40204/114109987_zpid/,,Single Family,1662500,10/10/24,5735,sqft,289.89,10454.4,sqft,6,5,1432 Cherokee Rd,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/2100-Highland-Springs-Pl-Louisville-KY-40245/114094931_zpid/,,Single Family,1650000,09/16/24,8650,sqft,190.75,0.78,acres,6,7,2100 Highland Springs Pl,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/60-Hill-Rd-Louisville-KY-40204/73608366_zpid/,,Single Family,1600000,09/11/24,7967,sqft,200.83,0.55,acres,7,7,60 Hill Rd,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/11-River-Hill-Rd-Indian-Hills-KY-40207/73624825_zpid/,,Single Family,1545292,10/02/24,3557,sqft,434.44,1.12,acres,3,4,11 River Hill Rd,Indian Hills,40207,KY,USA
https://www.zillow.com/homedetails/2415-Longest-Ave-Louisville-KY-40204/73618740_zpid/,,Single Family,1485000,09/20/24,4879,sqft,304.37,0.28,acres,6,4,2415 Longest Ave,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/1450-Cherokee-Rd-Louisville-KY-40204/114110012_zpid/,,Single Family,1400000,09/06/24,5031,sqft,278.27,0.34,acres,6,8,1450 Cherokee Rd,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/1825-Casselberry-Rd-Louisville-KY-40205/131901226_zpid/,,Single Family,1350000,12/02/24,3825,sqft,352.94,7405.2,sqft,4,4,1825 Casselberry Rd,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/3616-Glenview-Ave-Glenview-KY-40025/73464583_zpid/,,Single Family,1295000,09/06/24,5448,sqft,237.7,0.88,acres,5,5,3616 Glenview Ave,Glenview,40025,KY,USA
https://www.zillow.com/homedetails/219-Smithfield-Rd-Louisville-KY-40207/2058799505_zpid/,,Single Family,1275000,11/27/24,6464,sqft,197.25,0.38,acres,5,5,219 Smithfield Rd,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/1001-Anchorage-Woods-Cir-Anchorage-KY-40223/73470058_zpid/,,Single Family,1250000,11/20/24,5178,sqft,241.41,0.91,acres,5,5,1001 Anchorage Woods Cir,Anchorage,40223,KY,USA
